Start,End,Hours,Quality
0.994444444,0.386805556,0.392361111,0.5647059
0.928472222,0.265277778,0.336805556,0.5421687
0.981944444,0.324305556,0.342361111,0.5595238
0.965972222,0.298611111,0.332638889,0.5731707
0.00625,0.318055556,0.311805556,0.53333336
0.958333333,0.325,0.366666667,0.5151515
0.940277778,0.315972222,0.375694444,0.5555556
0.097916667,0.416666667,0.31875,0.5102041
0.133333333,0.417361111,0.284027778,0.5487805
0.970138889,0.339583333,0.369444444,0.57575756
0.952777778,0.3375,0.384722222,0.55421686
0.984722222,0.325,0.340277778,0.48809522
0.00625,0.336805556,0.330555556,0.5925926
0.004166667,0.334027778,0.329861111,0.50617284
0.0125,0.411805556,0.399305556,0.61627907
0.021527778,0.389583333,0.368055556,0.5252525
0.998611111,0.346527778,0.347916667,0.5697674
0.977083333,0.302777778,0.325694444,0.525
0.959027778,0.339583333,0.380555556,0.5731707
0.971527778,0.329166667,0.357638889,0.5681818
0.980555556,0.367361111,0.386805556,0.60240966
0.031944444,0.338194444,0.30625,0.60227275
0.950694444,0.327777778,0.377083333,0.60493827
0.991666667,0.363888889,0.372222222,0.5875
0.999305556,0.340972222,0.341666667,0.54761904
0.96875,0.315972222,0.347222222,0.47674417
0.984027778,0.323611111,0.339583333,0.53571427
0.033333333,0.400694444,0.367361111,0.57575756
0.059722222,0.377777778,0.318055556,0.53061223
0.057638889,0.386805556,0.329166667,0.5925926
0.009027778,0.346527778,0.3375,0.60240966
0.008333333,0.334027778,0.325694444,0.55
0.015277778,0.320833333,0.305555556,0.5568182
0.997222222,0.327777778,0.330555556,0.5925926
0.059027778,0.338194444,0.279166667,0.5875
0.047916667,0.418055556,0.370138889,0.5625
0.978472222,0.366666667,0.388194444,0.5952381
0.016666667,0.3125,0.295833333,0.5411765
0.978472222,0.326388889,0.347916667,0.53488374
0.963888889,0.327777778,0.363888889,0.5
0.994444444,0.320138889,0.325694444,0.575
0.985416667,0.315277778,0.329861111,0.5555556
0.040277778,0.390972222,0.350694444,0.55813956
0.875,0.224305556,0.349305556,0.55813956
0.973611111,0.338194444,0.364583333,0.5714286
0.988194444,0.329166667,0.340972222,0.48809522
0.982638889,0.328472222,0.345833333,0.5529412
0.947916667,0.332638889,0.384722222,0.60240966
0.029166667,0.361111111,0.331944444,0.597561
0.002083333,0.411805556,0.409722222,0.5714286
0.98125,0.340277778,0.359027778,0.62886596
0.955555556,0.336111111,0.380555556,0.6219512
0.985416667,0.303472222,0.318055556,0.47959185
0.995138889,0.313194444,0.318055556,0.56122446
0.979166667,0.309722222,0.330555556,0.5731707
0.013888889,0.334027778,0.320138889,0.5151515
0.913888889,0.21875,0.304861111,0.52272725
0.047222222,0.390972222,0.34375,0.5176471
0.969444444,0.303472222,0.334027778,0.5243902
0.961805556,0.328472222,0.366666667,0.5959596
0.014583333,0.401388889,0.386805556,0.5903614
0.974305556,0.315972222,0.341666667,0.45238096
0.873611111,0.1875,0.313888889,0.5670103
0.00625,0.327083333,0.320833333,0.54545456
0.957638889,0.340972222,0.383333333,0.61445785
0.984722222,0.324305556,0.339583333,0.5119048
0.961805556,0.324305556,0.3625,0.5510204
0.960416667,0.324305556,0.363888889,0.5714286
0.998611111,0.368055556,0.369444444,0.55
0.019444444,0.398611111,0.379166667,0.5487805
0.995138889,0.319444444,0.324305556,0.6125
0.9625,0.300694444,0.338194444,0.4939759
0.982638889,0.326388889,0.34375,0.5529412
0.957638889,0.309722222,0.352083333,0.5862069
0.980555556,0.322916667,0.342361111,0.54761904
0.977777778,0.319444444,0.341666667,0.48809522
0.89375,0.222222222,0.328472222,0.54320985
0.969444444,0.313194444,0.34375,0.5882353
0.961111111,0.325694444,0.364583333,0.52040815
0.940972222,0.246527778,0.305555556,0.6136364
0.980555556,0.331944444,0.351388889,0.57471263
0.971527778,0.320833333,0.349305556,0.45348838
0.978472222,0.327777778,0.349305556,0.53488374
0.031944444,0.317361111,0.285416667,0.5365854
0.960416667,0.320138889,0.359722222,0.5463917
0.947222222,0.302777778,0.355555556,0.5568182
0.9375,0.28125,0.34375,0.49411765
0.927777778,0.219444444,0.291666667,0.5714286
0.98125,0.329166667,0.347916667,0.61627907
0.988194444,0.320833333,0.332638889,0.4512195
0.977777778,0.324305556,0.346527778,0.5529412
0.959722222,0.318055556,0.358333333,0.52577317
0.945138889,0.320138889,0.375,0.5555556
0.914583333,0.211111111,0.296527778,0.47058824
0.944444444,0.284722222,0.340277778,0.60714287
0.959722222,0.315277778,0.355555556,0.59090906
0.952083333,0.309722222,0.357638889,0.5113636
0.95,0.316666667,0.366666667,0.54545456
0.959027778,0.306944444,0.347916667,0.5
0.959027778,0.308333333,0.349305556,0.55813956
0.931944444,0.282638889,0.350694444,0.47126436
0.925,0.213194444,0.288194444,0.57831323
0.926388889,0.319444444,0.393055556,0.63529414
0.854861111,0.086111111,0.23125,0.48
0.852777778,0.231944444,0.379166667,0.597561
0.9125,0.211111111,0.298611111,0.61627907
0.95,0.284027778,0.334027778,0.56626505
0.954166667,0.335416667,0.38125,0.5487805
0.972916667,0.344444444,0.371527778,0.6
0.995138889,0.322222222,0.327083333,0.4814815
0.951388889,0.313194444,0.361805556,0.5102041
0.929166667,0.271527778,0.342361111,0.5647059
0.940277778,0.223611111,0.283333333,0.5609756
0.975694444,0.338888889,0.363194444,0.5714286
0.986805556,0.329861111,0.343055556,0.45882353
0.965972222,0.308333333,0.342361111,0.5058824
0.954861111,0.317361111,0.3625,0.46938777
0.945138889,0.317361111,0.372222222,0.6125
0.95625,0.297916667,0.341666667,0.5
0.986805556,0.335416667,0.348611111,0.53488374
0.934027778,0.2125,0.278472222,0.5125
0.003472222,0.316666667,0.313194444,0.5416667
0.95625,0.316666667,0.360416667,0.53608245
0.927777778,0.298611111,0.370833333,0.5375
0.990972222,0.320138889,0.329166667,0.5555556
0.993055556,0.28125,0.288194444,0.4698795
0.964583333,0.328472222,0.363888889,0.5102041
0.889583333,0.21875,0.329166667,0.5185185
0.972222222,0.324305556,0.352083333,0.5632184
0.95625,0.333333333,0.377083333,0.5925926
0.995833333,0.325694444,0.329861111,0.5802469
0.965972222,0.325,0.359027778,0.58762884
0.990277778,0.29375,0.303472222,0.4827586
0.976388889,0.253472222,0.277083333,0.46464646
0.022222222,0.341666667,0.319444444,0.48979592
0.96875,0.338888889,0.370138889,0.57
0.969444444,0.313194444,0.34375,0.6117647
0.984027778,0.325,0.340972222,0.5714286
0.967361111,0.314583333,0.347222222,0.61627907
0.940972222,0.309722222,0.36875,0.61616164
0.923611111,0.25,0.326388889,0.6
0.963888889,0.291666667,0.327777778,0.5925926
0.006944444,0.333333333,0.326388889,0.5625
0.959722222,0.317361111,0.357638889,0.5568182
0.992361111,0.315972222,0.323611111,0.6125
0.974305556,0.321527778,0.347222222,0.61627907
0.988194444,0.335416667,0.347222222,0.61627907
0.007638889,0.361805556,0.354166667,0.59770113
0.975,0.319444444,0.344444444,0.49411765
0.967361111,0.3125,0.345138889,0.5764706
0.971527778,0.315277778,0.34375,0.6
0.917361111,0.299305556,0.381944444,0.57831323
0.989583333,0.25,0.260416667,0.62222224
0.025,0.342361111,0.317361111,0.53061223
0.970833333,0.309722222,0.338888889,0.5833333
0.986111111,0.318055556,0.331944444,0.5609756
